"_Category","_Expanded","_CaptionID","_ThumbnailFile","_Caption","_CaptionText","_Media","_Width","_Height","_Status","_Notes"
"Acrylics","MarketEnProvenceGail.jpg","MarketEnProvence","MarketEnProvence_thumb.jpg"
"Acrylics","OntheOtherSide_hr.jpg","OntheOtherSide","OntheOtherSide_thumb.jpg","OntheOtherSide","On the Other Side","Acrylic","36","24"
"Acrylics","AgingToPerfection.jpg","AgingToPerfection","AgingToPerfection_thumb.jpg","AgingToPerfection","Aging to Perfection","Acrylic on canvas","24","20","SOLD -- Prints Available"
"Acrylics","BaskingInTheSun.jpg","BaskingInTheSun","BaskingInTheSun_thumb.jpg","BaskingInTheSun","Basking in the Sun","Acrylic","36","12","SOLD -- Prints Available"	
"Acrylics","ReadyToGo.jpg","ReadyToGo","ReadyToGo_thumb.jpg","ReadyToGo","Ready to Go","Acrylic","36","24","Private Collection -- Prints Available"
"Acrylics","FirstBlush.jpg","FirstBlush","FirstBlush_thumb.jpg","FirstBlush","First Blush","Acrylic","24","20","SOLD -- Prints Available"
"Acrylics","TheGrapeVine.jpg","TheGrapeVine","TheGrapeVine_thumb.jpg","TheGrapeVine","The Grape Vine","Acrylic","30","24",""
"Acrylics","SeeingRed.jpg","SeeingRed","SeeingRed_thumb.jpg","SeeingRed","Seeing Red","Water Soluble Oil","30","40","SOLD -- Prints Available"
"Acrylics","LostArt.jpg","LostArt","LostArt_thumb.jpg","LostArt","Lost Art","Acrylic","16","20","SOLD -- Prints Available"
"Acrylics","SliceOfHeaven.jpg","SliceOfHeaven","SliceOfHeaven_thumb.jpg","SliceOfHeaven","Slice of Heaven","Acrylic","24","36","SOLD -- Prints Available"
"Acrylics","TempDePause.jpg","PauseCafe","TempDePause_thumb.jpg","PauseCafe","Pause Cafe","Acrylic","24","30",""
"Acrylics","AlleyCat.jpg","AlleyCat","AlleyCat_thumb.jpg","AlleyCat","Alley Cat","Acrylic","24","48","SOLD -- Prints Available"
"Acrylics","TheWineStop.jpg","TheWineStop","TheWineStop_thumb.jpg","TheWineStop","The Wine Stop","Acrylic","24","20",""
"Acrylics","SomeThingsNeverChange.jpg","SomeThingsNeverChange","SomeThingsNeverChange_thumb.jpg","SomeThingsNeverChange","Some Things Never Change","Acrylic","16","40",""
"Acrylics","TheGathering.jpg","TheGathering","TheGathering_thumb.jpg","for-TheGathering","The Gathering","Acrylic","15","30","SOLD -- Prints Available"
"Acrylics","FreeRange.jpg","FreeRange","FreeRange_thumb.jpg","FreeRange","Free Range","Acrylic","20","10","SOLD -- Prints Available"
"Acrylics","BirdsEyeView.jpg","BirdsEyeView","BirdsEyeView_thumb.jpg","BirdsEyeView","Bird's Eye View","Acrylic","44","24","SOLD -- Prints Available"	
"Acrylics","FieldOfFleece.jpg","FieldOfFleece","FieldOfFleece_thumb.jpg","FieldOfFleece","Field of Fleece","Acrylic","15","30",""
"Acrylics","MorningFlight.jpg","MorningFlight","MorningFlight_thumb.jpg","MorningFlight","Morning Flight","Acrylic","16","20","SOLD -- Prints Available"
"Acrylics","ARoadWellTraveled.jpg","ARoadWellTraveled","ARoadWellTraveled_thumb.jpg","ARoadWellTraveled","A Road Well Traveled","Acrylic","12","20","SOLD -- Prints Available"
"Acrylics","MorningReflection.jpg","MorningReflection","MorningReflection_thumb.jpg","MorningReflection","Morning Reflection","Acrylic","40","16",""
"Acrylics","TheHumanCondition.jpg","TheHumanCondition","TheHumanCondition_thumb.jpg","TheHumanCondition","The Human Condition","Acrylic","24","36",""
"Acrylics","LilHunter.jpg","LilHunter","LilHunter_thumb.jpg","LilHunter","Lil' Hunter","Acrylic on Yupo Paper","3.5","2.5","SOLD -- Prints Available"
"Acrylics","CatchAfallingStar.jpg","CatchAfallingStar","CatchAfallingStar_thumb.jpg","CatchAfallingStar","Catch A Falling Star","Acrylic","24","36",""
"Acrylics","DaydreamBreeze.jpg","DaydreamBreeze","DaydreamBreeze_thumb.jpg","DaydreamBreeze","Daydream Breeze","Acrylic","30","24",""
"Acrylics","FruitarianNightmare.jpg","FruitarianNightmare","FruitarianNightmare_thumb.jpg","FruitarianNightmare","Fruitarian Nightmare","Acrylic","12","12",""	
"Acrylics","PerilousFlight.jpg","PerilousFlight","PerilousFlight_thumb.jpg","PerilousFlight","Perilous Flight","Acrylic","12","12","SOLD -- Prints Available"
"Acrylics","SnohomishBarn.jpg","SnohomishBarn","SnohomishBarn_thumb.jpg","SnohomishBarn","Snohomish Barn","Acrylic","12","12","SOLD -- Prints Available"
"Acrylics","PlayTime.jpg","PlayTime","PlayTime_thumb.jpg","PlayTime","Play Time I, II, III","Acrylic","15","7","SOLD -- Prints Available","Triptych - Panel Size 5x7"
"Acrylics","Outfoxed.jpg","OutFoxed","Outfoxed_thumb.jpg","OutFoxed","Outfoxed","Acrylic","36","18",""
"Acrylics","SnowBunny.jpg","SnowBunny","SnowBunny_thumb.jpg","SnowBunny","Snow Bunny","Acrylic","18","36",""
"Acrylics","TheBox.jpg","TheBox","TheBox_thumb.jpg","TheBox","The Box","Acrylic","3.5","2.5","SOLD -- Prints Available"